LAMMPS Description

     1000  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 5.0 xlo xhi
  0.0 5.0 ylo yhi
  0.0 5.0 zlo zhi

Masses

      1		22.989
      2 	35.453

Atoms # full

211 211 1 1.0 1.5 0.5 1.0
212 212 2 -1.0 1.0 0.5 1.0
213 213 1 1.0 1.5 0.0 1.5
214 214 2 -1.0 1.0 0.0 1.5
215 215 1 1.0 1.0 0.5 1.5
216 216 2 -1.0 1.5 0.5 1.5
217 217 1 1.0 1.0 0.0 2.0
218 218 2 -1.0 1.5 0.0 2.0
219 219 1 1.0 1.5 0.5 2.0
220 220 2 -1.0 1.0 0.5 2.0
221 221 1 1.0 1.5 0.0 2.5
222 222 2 -1.0 1.0 0.0 2.5
223 223 1 1.0 1.0 0.5 2.5
224 224 2 -1.0 1.5 0.5 2.5
225 225 1 1.0 1.0 0.0 3.0
226 226 2 -1.0 1.5 0.0 3.0
227 227 1 1.0 1.5 0.5 3.0
228 228 2 -1.0 1.0 0.5 3.0
229 229 1 1.0 1.5 0.0 3.5
230 230 2 -1.0 1.0 0.0 3.5
231 231 1 1.0 1.0 0.5 3.5
232 232 2 -1.0 1.5 0.5 3.5
233 233 1 1.0 1.0 0.0 4.0
234 234 2 -1.0 1.5 0.0 4.0
235 235 1 1.0 1.5 0.5 4.0
236 236 2 -1.0 1.0 0.5 4.0
237 237 1 1.0 1.5 0.0 4.5
238 238 2 -1.0 1.0 0.0 4.5
239 239 1 1.0 1.0 0.5 4.5
240 240 2 -1.0 1.5 0.5 4.5
241 241 1 1.0 1.0 1.0 0.0
242 242 2 -1.0 1.5 1.0 0.0
243 243 1 1.0 1.5 1.5 0.0
244 244 2 -1.0 1.0 1.5 0.0
245 245 1 1.0 1.5 1.0 0.5
246 246 2 -1.0 1.0 1.0 0.5
247 247 1 1.0 1.0 1.5 0.5
248 248 2 -1.0 1.5 1.5 0.5
249 249 1 1.0 1.0 1.0 1.0
250 250 2 -1.0 1.5 1.0 1.0
251 251 1 1.0 1.5 1.5 1.0
252 252 2 -1.0 1.0 1.5 1.0
253 253 1 1.0 1.5 1.0 1.5
254 254 2 -1.0 1.0 1.0 1.5
255 255 1 1.0 1.0 1.5 1.5
256 256 2 -1.0 1.5 1.5 1.5
257 257 1 1.0 1.0 1.0 2.0
258 258 2 -1.0 1.5 1.0 2.0
259 259 1 1.0 1.5 1.5 2.0
260 260 2 -1.0 1.0 1.5 2.0
261 261 1 1.0 1.5 1.0 2.5
262 262 2 -1.0 1.0 1.0 2.5
263 263 1 1.0 1.0 1.5 2.5
264 264 2 -1.0 1.5 1.5 2.5
265 265 1 1.0 1.0 1.0 3.0
266 266 2 -1.0 1.5 1.0 3.0
267 267 1 1.0 1.5 1.5 3.0
268 268 2 -1.0 1.0 1.5 3.0
269 269 1 1.0 1.5 1.0 3.5
270 270 2 -1.0 1.0 1.0 3.5
271 271 1 1.0 1.0 1.5 3.5
272 272 2 -1.0 1.5 1.5 3.5
273 273 1 1.0 1.0 1.0 4.0
274 274 2 -1.0 1.5 1.0 4.0
275 275 1 1.0 1.5 1.5 4.0
276 276 2 -1.0 1.0 1.5 4.0
277 277 1 1.0 1.5 1.0 4.5
278 278 2 -1.0 1.0 1.0 4.5
279 279 1 1.0 1.0 1.5 4.5
280 280 2 -1.0 1.5 1.5 4.5
281 281 1 1.0 1.0 2.0 0.0
282 282 2 -1.0 1.5 2.0 0.0
283 283 1 1.0 1.5 2.5 0.0
284 284 2 -1.0 1.0 2.5 0.0
285 285 1 1.0 1.5 2.0 0.5
286 286 2 -1.0 1.0 2.0 0.5
287 287 1 1.0 1.0 2.5 0.5
288 288 2 -1.0 1.5 2.5 0.5
289 289 1 1.0 1.0 2.0 1.0
